unmatched_address,matched_address,matched_id,score
500 N. Allen Ave.,500 n allen ave,1147,100.0
605 N. Davis Ave.,605 n davis ave,26582,100.0
1607 Floyd Ave.,1607 floyd ave,34617,100.0
1922 Floyd Ave.,1922 floyd ave,34742,100.0
2041 W. Grace St.,2041 w grace st,40988,100.0
1910 Grove Ave.,1910 grove ave,44307,100.0
2225 Hanover Ave.,2225 hanover ave,46689,100.0
1725 Park Ave.,1725 park ave,78959,100.0
1916 Floyd Ave.,1916 floyd ave,34731,100.0
821 W. Franklin St.,821 w franklin st,1037134,100.0
901 W. Franklin St.,901 w franklin st,2032359,100.0
910 W. Franklin St.,910 w franklin st,1037145,100.0
1308 Grove Ave.,1308 grove ave,43997,100.0
1814 Park Ave.,1814 park ave,78974,100.0
1821 Monument Ave.,1821 monument ave,71834,100.0
2307 Monument Ave.,2307 monument ave,71976,100.0
2024 Stuart Ave.,2024 stuart ave,95614,100.0
500 N. Allen Ave.,500 n allen ave,1147,100.0
1800 W. Grace St.,1800 w grace st,40817,100.0
1505 Hanover Ave.,1505 hanover ave,46387,100.0
1511 Hanover Ave.,1511 hanover ave,46391,100.0
1517 Hanover Ave.,1517 hanover ave,46394,100.0
1519 Hanover Ave.,1519 hanover ave,46395,100.0
1516 Park Ave.,1516 park ave,78896,100.0
1530 Park Ave.,1530 park ave,78899,100.0
1534 Park Ave.,1534 park ave,78900,100.0
401 Stuart Cir.,401 stuart cir,1077510,100.0
1613 Floyd Ave.,1613 floyd ave,34624,100.0
1916 Grove Ave.,1916 grove ave,44314,100.0
2002 Grove Ave.,2002 grove ave,44331,100.0
2013 Grove Ave.,2013 grove ave,44345,100.0
1815 Hanover Ave.,1815 hanover ave,46512,100.0
2625 Monument Ave.,2625 monument ave,72038,100.0
2402 Park Ave.,2402 park ave,79224,100.0
1400 Floyd Ave.,1400 floyd ave,1034531,100.0
2206 Floyd Ave.,2206 floyd ave,34867,100.0
1602 W. Grace St.,1602 w grace st,40714,100.0
1810 W. Grace St.,1810 w grace st,40824,100.0
2005 W. Grace St.,2005 w grace st,40923,100.0
2221 Grove Ave.,2221 grove ave,1044434,100.0
205 N. Meadow St.,205 n meadow st,69116,100.0
2200 Monument Ave.,2200 monument ave,71918,100.0
402 N. Allen Ave.,402 n allen ave,1137,100.0
1823 Hanover Ave.,1823 hanover ave,46520,100.0
1700 Hanover Ave.,1700 hanover ave,46433,100.0
2235 Monument Ave.,2235 monument ave,71955,100.0
2340 Monument Ave.,2340 monument ave,71990,100.0
2501 Monument Ave.,2501 monument ave,71992,100.0
2704 Monument Ave.,2704 monument ave,72043,100.0
418 N. Stafford Ave.,418 n stafford ave,93981,100.0
1504 Floyd Ave.,1504 floyd ave,34563,100.0
1506 W. Main St.,1506 w main st,64405,100.0
1514 W. Main St.,1514 w main st,1064414,100.0
2503 Kensington Ave.,2503 kensington ave,54567,100.0
2610 Monument Ave.,2610 monument ave,72029,100.0
2612 W. Grace St.,2612 w grace st,41256,100.0
102 N. Plum St.,102 n plum st,84060,100.0
1146 West Ave.,1146 west ave,102495,100.0
1423 Grove Ave.,1423 grove ave,44069,100.0
2300 Monument Ave.,2300 monument ave,71972,100.0
2301 Monument Ave.,2301 monument ave,71973,100.0
2307 Monument Ave.,2307 monument ave,71976,100.0
2309 Monument Ave.,2309 monument ave,71977,100.0
2314 Monument Ave.,2314 monument ave,71979,100.0
2315 Monument Ave.,2315 monument ave,71980,100.0
2319 Monument Ave.,2319 monument ave,71981,100.0
2320 Monument Ave.,2320 monument ave,71982,100.0
2326 Monument Ave.,2326 monument ave,71985,100.0
2327 Monument Ave.,2327 monument ave,71986,100.0
2330 Monument Ave.,2330 monument ave,71987,100.0
1502 Grove Ave.,1502 grove ave,44090,100.0
1505 Hanover Ave.,1505 hanover ave,46387,100.0
1519 Hanover Ave.,1519 hanover ave,46395,100.0
503 Stuart Cir.,503 stuart cir,1088822,100.0
1603 Monument Ave.,1603 monument ave,71755,100.0
1627 Monument Ave.,1627 monument ave,71782,100.0
1516 Park Ave.,1516 park ave,78896,100.0
1530 Park Ave.,1530 park ave,78899,100.0
208 N. Plum St.,208 n plum st,84071,100.0
1119 West Ave.,1119 west ave,102467,100.0
1130 West Ave.,1130 west ave,102478,100.0
1136 West Ave.,1136 west ave,102485,100.0
1146 West Ave.,1146 west ave,102495,100.0
1149 West Ave.,1149 west ave,102499,100.0
1500 West Ave.,1500 west ave,102501,100.0
1506 West Ave.,1506 west ave,102507,100.0
1507 West Ave.,1507 west ave,102508,100.0
1508 West Ave.,1508 west ave,102509,100.0
1518 West Ave.,1518 west ave,102525,100.0
1523 West Ave.,1523 west ave,102528,100.0
1527 West Ave.,1527 west ave,102531,100.0
402 N. Allen Ave.,402 n allen ave,1137,100.0
405 N. Allen Ave.,405 n allen ave,1139,100.0
1622 Monument Ave.,1622 monument ave,71772,100.0
1635 Monument Ave.,1635 monument ave,71806,100.0
1800 Monument Ave.,1800 monument ave,71810,100.0
1808 Monument Ave.,1808 monument ave,71813,100.0
1834 Monument Ave.,1834 monument ave,71845,100.0
1826 Monument Ave.,1826 monument ave,71838,100.0
1837 Monument Ave.,1837 monument ave,71847,100.0
314 N. Granby St.,314 n granby st,42166,100.0
1817 Grove Ave.,1817 grove ave,44280,100.0
1819 Grove Ave.,1819 grove ave,44282,100.0
1905 Grove Ave.,1905 grove ave,1044301,100.0
1907 Grove Ave.,1907 grove ave,44303,100.0
1801 Hanover Ave.,1801 hanover ave,46497,100.0
1803 Hanover Ave.,1803 hanover ave,46499,100.0
1807 Hanover Ave.,1807 hanover ave,46503,100.0
1808 Hanover Ave.,1808 hanover ave,1046504,100.0
1816 Hanover Ave.,1816 hanover ave,46513,100.0
1825 Hanover Ave.,1825 hanover ave,1046524,100.0
1831 Hanover Ave.,1831 hanover ave,46529,100.0
1904 Hanover Ave.,1904 hanover ave,46534,100.0
304 N. Meadow St.,304 n meadow st,69124,100.0
1816 Monument Ave.,1816 monument ave,71823,100.0
2200 Monument Ave.,2200 monument ave,71918,100.0
2216 Monument Ave.,2216 monument ave,71936,100.0
1721 Park Ave.,1721 park ave,78957,100.0
1822 Park Ave.,1822 park ave,78988,100.0
1824 Park Ave.,1824 park ave,78991,100.0
1826 Park Ave.,1826 park ave,78993,100.0
1828 Park Ave.,1828 park ave,78997,100.0
1917 Stuart Ave.,1917 stuart ave,95570,100.0
2007 Stuart Ave.,2007 stuart ave,95586,100.0
2018 Stuart Ave.,2018 stuart ave,95607,100.0
2100 Stuart Ave.,2100 stuart ave,95617,100.0
1303 Grove Ave.,1303 grove ave,43987,100.0
1308 Grove Ave.,1308 grove ave,43997,100.0
1401 Grove Ave.,1401 grove ave,44005,100.0
1423 Grove Ave.,1423 grove ave,44069,100.0
107 N. Harvie St.,107 n harvie st,47868,100.0
111 N. Harvie St.,111 n harvie st,47871,100.0
218 N. Harvie St.,218 n harvie st,47874,100.0
222 N. Harvie St.,222 n harvie st,47875,100.0
108 N. Morris St.,108 n morris st,73014,100.0
1301 Park Ave.,1301 park ave,78857,100.0
1602 W. Grace St.,1602 w grace st,40714,100.0
1604 W. Grace St.,1604 w grace st,40715,100.0
1610 W. Grace St.,1610 w grace st,1040722,100.0
1812 W. Grace St.,1812 w grace st,40826,100.0
1824 W. Grace St.,1824 w grace st,40849,100.0
1832 W. Grace St.,1832 w grace st,40874,100.0
2008 W. Grace St.,2008 w grace st,40926,100.0
2239 W. Grace St.,2239 w grace st,41086,100.0
2315 W. Grace St.,2315 w grace st,41126,100.0
2510 W. Grace St.,2510 w grace st,41206,100.0
2629 W. Grace St.,2629 w grace st,41269,100.0
2719 W. Grace St.,2719 w grace st,41323,100.0
1848 W. Grace St.,1848 w grace st,1040908,100.0
2612 W. Grace St.,2612 w grace st,41256,100.0
1834 Monument Ave.,1834 monument ave,71845,100.0
2000 Monument Ave.,2000 monument ave,71856,100.0
2035 Monument Ave.,2035 monument ave,71909,100.0
2300 Monument Ave.,2300 monument ave,71972,100.0
2304 Monument Ave.,2304 monument ave,71974,100.0
2326 Monument Ave.,2326 monument ave,71985,100.0
2501 Monument Ave.,2501 monument ave,71992,100.0
2516 Monument Ave.,2516 monument ave,72010,100.0
2605 Monument Ave.,2605 monument ave,72022,100.0
2609 Monument Ave.,2609 monument ave,72028,100.0
204 N. Allen Ave.,204 n allen ave,1123,100.0
2115 Floyd Ave.,2115 floyd ave,34834,100.0
2303 Floyd Ave.,2303 floyd ave,34906,100.0
2221 Floyd Ave.,2221 floyd ave,1034890,100.0
2420 Floyd Ave.,2420 floyd ave,34989,100.0
1808 Grove Ave.,1808 grove ave,44266,100.0
1918 Grove Ave.,1918 grove ave,44315,100.0
2002 Grove Ave.,2002 grove ave,44331,100.0
2212 Grove Ave.,2212 grove ave,3023748,100.0
2422 W. Main St.,2422 w main st,64696,100.0
1608 Hanover Ave.,1608 hanover ave,46413,100.0
1615 Hanover Ave.,1615 hanover ave,46419,100.0
2024 Hanover Ave.,2024 hanover ave,46603,100.0
1627 Monument Ave.,1627 monument ave,71782,100.0
1530 Park Ave.,1530 park ave,78899,100.0
1702 Park Ave.,1702 park ave,78941,100.0
1808 Park Ave.,1808 park ave,78965,100.0
1823 Park Ave.,1823 park ave,78990,100.0
1917 Stuart Ave.,1917 stuart ave,95570,100.0
2020 Stuart Ave.,2020 stuart ave,95610,100.0
2023 Stuart Ave.,2023 stuart ave,95613,100.0
2505 Grove Ave.,2505 grove ave,44535,100.0
2503 Hanover Ave.,2503 hanover ave,46765,100.0
2521 Hanover Ave.,2521 hanover ave,46794,100.0
2600 Hanover Ave.,2600 hanover ave,46806,100.0
2700 Hanover Ave.,2700 hanover ave,46859,100.0
2701 Hanover Ave.,2701 hanover ave,46860,100.0
