AddressId,AddressLabel,BuildingNumber,StreetDirection,StreetName,StreetType,ExtensionWithUnit,UnitType,UnitValue,ZipCode,Mailable,StatePlaneX,StatePlaneY,Latitude,Longitude,ID,Name,AddressBase,AddressExtension
1063158,2317 W Main St Apt 2,2317,W,Main,St,,Apt,2,23220,Yes,11781390.0361057,3725682.55590427,37.55066567,-77.47040129,0350,Fan District Association,2317 W Main St,Apt 2
3173265,2320 W Main St Apt 1,2320,W,Main,St,,Apt,1,23220,Yes,11781482.5070494,3725851.3245956,37.55112638,-77.47007598,0350,Fan District Association,2320 W Main St,Apt 1
3173266,2320 W Main St Apt 2,2320,W,Main,St,,Apt,2,23220,Yes,11781482.5070494,3725851.3245956,37.55112638,-77.47007598,0350,Fan District Association,2320 W Main St,Apt 2
3173267,2320 W Main St Apt 3,2320,W,Main,St,,Apt,3,23220,Yes,11781482.5070494,3725851.3245956,37.55112638,-77.47007598,0350,Fan District Association,2320 W Main St,Apt 3
3173268,2320 W Main St Apt 4,2320,W,Main,St,,Apt,4,23220,Yes,11781482.5070494,3725851.3245956,37.55112638,-77.47007598,0350,Fan District Association,2320 W Main St,Apt 4
3173269,2320 W Main St Apt 5,2320,W,Main,St,,Apt,5,23220,Yes,11781482.5070494,3725851.3245956,37.55112638,-77.47007598,0350,Fan District Association,2320 W Main St,Apt 5
1053841,2310 Grove Ave Apt 1,2310,,Grove,Ave,,Apt,1,23220,Yes,11781831.4492649,3726581.64990661,37.55312155,-77.46884486,0350,Fan District Association,2310 Grove Ave,Apt 1
1053842,2310 Grove Ave Apt 2,2310,,Grove,Ave,,Apt,2,23220,Yes,11781831.4492649,3726581.64990661,37.55312155,-77.46884486,0350,Fan District Association,2310 Grove Ave,Apt 2
0064788,2616 W Main St Apt A,2616,W,Main,St,,Apt,A,23220,Yes,11780379.4406859,3726241.45242427,37.55223074,-77.47386616,0350,Fan District Association,2616 W Main St,Apt A
0064789,2616 W Main St Apt B,2616,W,Main,St,,Apt,B,23220,Yes,11780379.4406859,3726241.45242427,37.55223074,-77.47386616,0350,Fan District Association,2616 W Main St,Apt B
1063245,2608 W Main St Apt 1,2608,W,Main,St,,Apt,1,23220,Yes,11780455.1304952,3726209.3553756,37.55214034,-77.47360628,0350,Fan District Association,2608 W Main St,Apt 1
3159010,2608 W Main St Apt 2,2608,W,Main,St,,Apt,2,23220,Yes,11780455.1304952,3726209.3553756,37.55214034,-77.47360628,0350,Fan District Association,2608 W Main St,Apt 2
3002686,2524 W Main St Room 2,2524,W,Main,St,,Room,2,23220,Yes,11780670.4076237,3726117.44151744,37.55188149,-77.47286716,0350,Fan District Association,2524 W Main St,Room 2
