OBJECTID_left,ID_left,Name_left,District,Class,CreatedBy_left,CreatedDate_left,EditBy_left,EditDate_left,GlobalID_left,Shape__Area_left,Shape__Length_left,index_right,OBJECTID_right,ID_right,Name_right,AdoptionDate,ChangeDate,CreatedBy_right,CreatedDate_right,EditBy_right,EditDate_right,GlobalID_right,Shape__Area_right,Shape__Length_right
22,CRVR,Carver,Near West,1,richmondvagis,1572900161564,richmondvagis,1572900161564,0c350489-2b80-465f-b6a3-46c19c211ebf,6262403.91796875,10284.5149619752,61,194,0350,Fan District Association,2001-03-20 00:00:00+00:00,9999/12/31 00:00:00+00,richard.morton_cor,2025-04-09 12:50:46.844000+00:00,richard.morton_cor,2025-04-09 12:50:46.844000+00:00,56def863-fe53-4df4-a7a7-c37df4b0fac2,24556584.23828125,22599.19121067267
85,MUSM,Museums,Near West,2,richmondvagis,1572900161564,richmondvagis,1572900161564,abe58b6d-fcae-4919-bd81-6b18886d2d5f,6615218.15234375,11455.8756244088,61,194,0350,Fan District Association,2001-03-20 00:00:00+00:00,9999/12/31 00:00:00+00,richard.morton_cor,2025-04-09 12:50:46.844000+00:00,richard.morton_cor,2025-04-09 12:50:46.844000+00:00,56def863-fe53-4df4-a7a7-c37df4b0fac2,24556584.23828125,22599.19121067267
86,NTW,Newtowne West,Near West,1,richmondvagis,1572900161564,richmondvagis,1572900161564,a4333653-338e-4e44-a728-081e85caf182,4606310.2265625,8996.05778019356,61,194,0350,Fan District Association,2001-03-20 00:00:00+00:00,9999/12/31 00:00:00+00,richard.morton_cor,2025-04-09 12:50:46.844000+00:00,richard.morton_cor,2025-04-09 12:50:46.844000+00:00,56def863-fe53-4df4-a7a7-c37df4b0fac2,24556584.23828125,22599.19121067267
123,FAN,The Fan,Near West,1,richmondvagis,1572900161564,richmondvagis,1572900161564,547ae7a6-c8ea-4557-bb5c-98fb9219fdc2,26611614.2421875,21964.8180211534,61,194,0350,Fan District Association,2001-03-20 00:00:00+00:00,9999/12/31 00:00:00+00,richard.morton_cor,2025-04-09 12:50:46.844000+00:00,richard.morton_cor,2025-04-09 12:50:46.844000+00:00,56def863-fe53-4df4-a7a7-c37df4b0fac2,24556584.23828125,22599.19121067267
124,MUSD,The Museum District,Near West,1,richmondvagis,1572900161564,richmondvagis,1572900161564,5c286b14-a522-4454-b8ab-41730564a876,17665793.96875,17178.727928051,61,194,0350,Fan District Association,2001-03-20 00:00:00+00:00,9999/12/31 00:00:00+00,richard.morton_cor,2025-04-09 12:50:46.844000+00:00,richard.morton_cor,2025-04-09 12:50:46.844000+00:00,56def863-fe53-4df4-a7a7-c37df4b0fac2,24556584.23828125,22599.19121067267
129,VCU,VCU,Near West,2,richmondvagis,1572900161564,richmondvagis,1572900161564,ae2e0bb9-e235-4eb4-a4df-65a290385eab,5640347.859375,10023.2192258075,61,194,0350,Fan District Association,2001-03-20 00:00:00+00:00,9999/12/31 00:00:00+00,richard.morton_cor,2025-04-09 12:50:46.844000+00:00,richard.morton_cor,2025-04-09 12:50:46.844000+00:00,56def863-fe53-4df4-a7a7-c37df4b0fac2,24556584.23828125,22599.19121067267
