OBJECTID,ID,Name,District,Class,CreatedBy,CreatedDate,EditBy,EditDate,GlobalID,Shape__Area,Shape__Length
80,MCGV,McGuire Veterans Hospital,Broad Rock,2,richmondvagis,1572900161564,richmondvagis,1572900161564,25d53bb6-e0f1-49bd-92c9-75ee3396c0c3,7761507.671875,12321.0350965151
81,MDLT,Midlothian,Midlothian,2,richmondvagis,1572900161564,richmondvagis,1572900161564,e166bdaf-9e11-4948-8d71-84e2bc987e58,38079641.078125,36926.1821589602
82,MNWD,Monroe Ward,Downtown,2,richmondvagis,1572900161564,richmondvagis,1572900161564,aa0cba07-1513-481c-a38c-ea8225f7b259,5816219.76171875,10208.3773482293
83,MNPK,Monument Avenue Park,Far West,1,richmondvagis,1572900161564,richmondvagis,1572900161564,9db21d76-72b3-4d3c-ac91-fca1fae5410c,4645813.28125,8678.60408596182
84,MSBY,Mosby,East,1,richmondvagis,1572900161564,richmondvagis,1572900161564,e133fbc2-e8f9-4ff2-95f1-ff1cb5da7cc4,4891350.84765625,9859.77961042522
85,MUSM,Museums,Near West,2,richmondvagis,1572900161564,richmondvagis,1572900161564,abe58b6d-fcae-4919-bd81-6b18886d2d5f,6615218.15234375,11455.8756244088
86,NTW,Newtowne West,Near West,1,richmondvagis,1572900161564,richmondvagis,1572900161564,a4333653-338e-4e44-a728-081e85caf182,4606310.2265625,8996.05778019356
87,NHP,North Highland Park,North,1,richmondvagis,1572900161564,richmondvagis,1572900161564,a38dda24-d27e-4a7a-ac61-e93fee15267f,12713501.1875,15760.034028306
88,NBHG,Northern Barton Heights,North,1,richmondvagis,1572900161564,richmondvagis,1572900161564,78674092-2267-4fce-90d5-c0e4054d7a46,13955413.2382813,15851.0653587266
89,NTHP,Northrop,Old South,1,richmondvagis,1572900161564,richmondvagis,1572900161564,79f2eddb-5ed2-4982-9495-6f0f46134b2c,7845438.9921875,13482.3341658868
90,OKGR,Oak Grove,Old South,1,richmondvagis,1572900161564,richmondvagis,1572900161564,42815c05-2ae2-485b-80a7-ade042fb0b05,14871322.3671875,15978.3719623373
